scenario_id,context_condition,claim_id,claim_text,claim_type,gpcs_trust_score,gpcs_unsupported,self_consistency_recurrence_rate,self_consistency_unsupported,agreement
scenario-01,none,claim-1,payment-service-pod-7f exceeded memory limit Pod 'payment-service-pod-7f' on node-worker-01 has Failed,state,0.0,True,1.0,False,False
scenario-01,none,claim-2,Payment service availability is impacted due to container termination,general,0.0,True,0.0,True,True
scenario-01,none,claim-3,Container in pod payment-service-pod-7f was OOMKilled after exceeding its 512Mi memory limit,temporal,0.0,True,1.0,False,False
scenario-01,none,claim-4,This is the definitive root cause (Logs Agent conf 0.99),causal,0.0,True,0.0,True,True
scenario-01,none,claim-5,"Topology confirms the pod is isolated on node-worker-01 with no external noisy neighbors and no dependencies, ruling out resource contention from co-located pods",general,0.0,True,0.5,False,False
scenario-01,none,claim-6,"Monitoring data (container_cpu_usage_seconds_total=95.0 at 1600000000) is a single cumulative counter point and is insufficient to calculate CPU rate/utilization, so no CPU anomaly can be confirmed and CPU is not the root cause",causal,0.0,True,0.0,True,True
scenario-01,none,claim-7,Security telemetry shows no breaches or RBAC issues,general,0.0,True,0.0,True,True
scenario-01,none,claim-8,"Deployment 'payment-service-deploy' is Degraded but has null Git SHA/commit_msg, so it cannot be correlated to a recent code regression and is assessed as a symptom of the pod failure, not the cause",causal,0.0,True,0.5,False,False
scenario-01,raw,claim-1,"Memory Limit Exceeded on payment-service-pod-7f Pod payment-service-pod-7f has Failed due to memory exhaustion, causing Deployment payment-service-deploy to be Degraded and risking disruption to payment processing",state,0.0,True,1.0,False,False
scenario-01,raw,claim-2,Root cause is the container exceeding its 512Mi memory limit and being terminated by the kernel OOMKiller (LOGS conf 0.85,state,0.0,True,0.5,False,False
scenario-01,raw,claim-3,definitive termination reason),causal,0.0,True,0.0,True,True
scenario-01,raw,claim-4,"TOPOLOGY (conf 0.92) confirms this is internal exhaustion, not node-level contention: there are no external noisy neighbors and zero dependencies, the only entry is itself (self-listing anomaly) indicating no resource pressure from other pods on node-worker-01",general,0.0,True,0.0,True,True
scenario-01,raw,claim-5,"The MONITORING High CPU anomaly (conf 0.85) is a secondary symptom, likely GC thrashing / CPU pressure preceding OOM, not the primary cause of termination",state,0.0,True,0.0,True,True
scenario-01,raw,claim-6,"SECURITY (conf 0.8) rules out breach, secret or RBAC causes",entity_relationship,0.0,True,0.0,True,True
scenario-01,raw,claim-7,"DEPLOYMENTS reports Degraded status as an effect of the pod failure, but with conf 0.25 and null Git SHA/commit_msg, a deployment regression can neither be confirmed nor ruled out",general,0.0,True,0.0,True,True
scenario-01,hybrid,claim-1,OOMKilled on payment-service-pod-7f,state,0.0,True,0.5,False,False
scenario-01,hybrid,claim-2,"Memory Limit Exceeded Pod 'payment-service-pod-7f' has Failed on node 'node-worker-01', causing disruption to the payment-service",state,0.0,True,1.0,False,False
scenario-01,hybrid,claim-3,The container was terminated after exceeding its 512Mi memory limit,temporal,0.0,True,0.0,True,True
scenario-01,hybrid,claim-4,"Root cause is OOMKilled due to container memory usage exceeding the 512Mi limit, as directly reported by the LOGS Agent (Conf: 0.85)",state,0.0,True,0.0,True,True
scenario-01,hybrid,claim-5,The High CPU saturation reported by MONITORING (Conf: 0.92) is assessed as a secondary symptom (likely GC pressure / memory thrashing prior to OOM) rather than the primary cause,state,0.0,True,0.0,True,True
scenario-01,hybrid,claim-6,"TOPOLOGY (Conf: 0.92) confirms isolation on node-worker-01 with no external noisy neighbors (self-listed only, 0 dependencies), ruling out resource contention",general,0.0,True,0.0,True,True
scenario-01,hybrid,claim-7,SECURITY (Conf: 0.8) rules out security-related causes,entity_relationship,0.0,True,0.0,True,True
scenario-01,hybrid,claim-8,DEPLOYMENTS (Conf: 0.35) is discounted due to low confidence and null sha/commit_msg,general,0.0,True,0.0,True,True
scenario-01,hybrid,claim-9,Degraded status is consistent with the pod failure but does not indicate a deployment regression,general,0.0,True,0.5,False,False
