scenario_id,context_condition,claim_id,claim_text,gpcs_claim_text,claim_type,gpcs_trust_score,gpcs_unsupported,self_consistency_recurrence_rate,self_consistency_unsupported,agreement,source_system,fault_type,batch
rcaeval-01,none,claim-1,Pod 'checkoutservice' is on node-worker-01,Pod 'checkoutservice' is on node-worker-01,entity_relationship,0.713,False,1.0,False,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-2,Pod 'checkoutservice' has Failed,Pod 'checkoutservice' has Failed,state,0.708,False,1.0,False,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-3,Failure is due to severe internal CPU-bound resource exhaustion,Failure is due to severe internal CPU-bound resource exhaustion,causal,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-4,Severe internal CPU-bound resource exhaustion caused ~42.6x CPU spike,Severe internal CPU-bound resource exhaustion caused ~42.6x CPU spike,causal,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-5,Severe internal CPU-bound resource exhaustion caused service unavailability,Severe internal CPU-bound resource exhaustion caused service unavailability,causal,0.504,False,0.5,False,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-6,Impact is isolated to checkoutservice itself,Impact is isolated to checkoutservice itself,state,0.708,False,0.5,False,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-7,checkoutservice exhibited degraded performance,checkoutservice exhibited degraded performance,state,0.713,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-8,checkoutservice exhibited increased memory usage,checkoutservice exhibited increased memory usage,state,0.71,False,0.5,False,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-9,checkoutservice exhibited increased socket count,checkoutservice exhibited increased socket count,state,0.71,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-10,checkoutservice exhibited increased p50 latency,checkoutservice exhibited increased p50 latency,state,0.71,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-11,Workload remained stable despite degraded performance,Workload remained stable despite degraded performance,state,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-12,No downstream frontend error propagation occurred,No downstream frontend error propagation occurred,state,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-13,"Post-1705354566, checkoutservice exhibited an internal CPU-bound fault","Post-1705354566, checkoutservice exhibited an internal CPU-bound fault",temporal,0.71,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-14,Mean CPU increased from 0.4289 to 18.29 (~42.6x increase),Mean CPU increased from 0.4289 to 18.29 (~42.6x increase),state,0.0,True,0.5,False,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-15,Memory increased from 1.172e+07 to 1.624e+07 (+38.5%),Memory increased from 1.172e+07 to 1.624e+07 (+38.5%),state,0.0,True,0.5,False,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-16,Socket count increased from 9 to 10.96,Socket count increased from 9 to 10.96,state,0.0,True,0.5,False,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-17,p50 latency increased from 0.2968 to 0.3136,p50 latency increased from 0.2968 to 0.3136,state,0.0,True,1.0,False,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-18,Workload remained stable from 0.9144 to 0.9521,Workload remained stable from 0.9144 to 0.9521,state,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-19,Pattern indicates an infinite loop / CPU spin inside the service,Pattern indicates an infinite loop / CPU spin inside the service,causal,0.512,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-20,Pattern indicates inefficient computation inside the service,Pattern indicates inefficient computation inside the service,causal,0.519,False,0.0,True,False,Online Boutique,cpu,batch-01
rcaeval-01,none,claim-21,Fault is not load-driven saturation,Fault is not load-driven saturation,causal,0.0,True,0.0,True,True,Online Boutique,cpu,batch-01
