scenario_id,excluded,reason,agents_unsupported_rate,agents_llm_calls,single_llm_unsupported_rate,single_llm_claim_count,single_llm_llm_calls
scenario-01,False,,0.652,6,0.133,15,5
scenario-02,False,,0.32,6,0.2,15,5
scenario-03,False,,0.25,6,0.312,16,5
scenario-04,False,,0.682,6,0.412,17,5
scenario-05,False,,0.333,6,0.211,19,5
scenario-06,False,,0.444,6,0.154,13,5
scenario-07,False,,0.455,6,0.444,18,5
scenario-08,False,,0.333,6,0.4,20,5
scenario-09,False,,0.286,6,0.214,14,5
scenario-10,False,,0.476,6,0.133,15,5
scenario-11,False,,0.412,6,0.375,16,5
scenario-12,False,,0.444,6,0.278,18,5
scenario-13,False,,0.471,6,0.357,14,5
scenario-14,False,,0.5,6,0.267,15,5
scenario-15,False,,0.676,6,0.6,15,5
scenario-16,False,,0.5,6,0.346,26,5
scenario-17,False,,0.444,6,0.467,15,5
scenario-18,False,,0.231,6,0.385,13,5
scenario-19,False,,0.5,6,0.25,16,5
scenario-20,False,,0.621,6,0.176,17,5
scenario-21,False,,0.594,6,0.2,15,5
scenario-22,False,,0.378,6,0.381,21,5
scenario-23,False,,0.286,6,0.611,18,5
scenario-24,False,,0.381,6,0.357,14,5
scenario-25,False,,0.391,6,0.214,14,5
